"name","mean_vx_prct","pop2012","med_age"
"ALAMEDA",78.8611808808756,1534551,36.6
"ALPINE",51.2126061799828,1148,46.4
"AMADOR",61.2524040220376,38354,48.2
"BUTTE",52.0081108575623,222350,37.1
"CALAVERAS",60.5812794954704,46212,49.1
"COLUSA",57.122502696422,21780,33.5
"CONTRA COSTA",80.957790911543,1067570,38.4
"DEL NORTE",43.4417752447621,28685,39
"EL DORADO",55.6368030297942,182494,43.5
"FRESNO",58.3442876503895,944788,30.7
"GLENN",48.7038405997269,28516,35.3
"HUMBOLDT",59.1962848846263,136375,37.3
"IMPERIAL",63.0088704345879,178091,32
"INYO",52.0002199701325,18611,45.5
"KERN",49.5261833504634,851089,30.7
"KINGS",46.1177303305578,155039,31.1
"LAKE",59.1812659188388,65253,45
"LASSEN",25.3269560852041,35039,37
"LOS ANGELES",69.8479244124486,9904341,34.8
"MADERA",54.4106577518852,153025,33.1
"MARIN",85.2326139753278,255509,44.5
"MARIPOSA",45.3587582679853,18455,49.2
"MENDOCINO",65.9254311311125,88094,41.6
"MERCED",43.7009580493473,256841,29.6
"MODOC",35.6629782455729,9791,46
"MONO",73.0063586582218,14418,37.2
"MONTEREY",67.328038831843,420465,33
"NAPA",76.2024375685754,135855,39.7
"NEVADA",66.2696831946736,99951,47.5
"ORANGE",71.4629536578247,3054269,36.2
"PLACER",68.8733195666185,356116,40.3
"PLUMAS",57.0498884239363,20000,49.5
"RIVERSIDE",58.8885625248699,2227789,33.7
"SACRAMENTO",65.2954545515627,1432457,34.8
"SAN BENITO",62.8904126378392,56501,34.3
"SAN BERNARDINO",52.2423462822248,2062041,31.7
"SAN DIEGO",67.5877778608392,3137431,34.7
"SAN FRANCISCO",80.8429149756522,824334,38.5
"SAN JOAQUIN",56.9608291054966,688477,32.7
"SAN LUIS OBISPO",60.4011493567058,271619,39.4
"SAN MATEO",81.2103411230755,726677,39.2
"SANTA BARBARA",67.3532407791625,423800,33.7
"SANTA CLARA",84.976478985399,1819137,36.2
"SANTA CRUZ",72.9176384701298,262470,36.8
"SHASTA",47.0371184032914,178831,41.8
"SIERRA",42.6209772140005,3226,51
"SISKIYOU",39.7821115487057,45200,46.8
"SOLANO",64.6667537578108,418187,36.9
"SONOMA",73.2720879441832,487061,39.8
"STANISLAUS",52.7276755607914,518549,32.9
"SUTTER",49.990601333386,95619,34.6
"TEHAMA",40.363915738171,63757,39.5
"TRINITY",40.0198029532567,14063,49.2
"TULARE",50.4080027713904,448724,29.6
"TUOLUMNE",62.4073490528089,55331,47.1
"VENTURA",68.3072722078393,825977,36.2
"YOLO",69.7336560817524,204322,30.5
"YUBA",48.808691225113,72822,32.2
